        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , MVDDC Power Draw [W] , MVDDQ Power Draw [W] , PCIe Slot Power [W] , PCIe Slot Voltage [V] , 6-Pin #1 Power [W] , 6-Pin #1 Voltage [V] , 8-Pin #1 Power [W] , 8-Pin #1 Voltage [V] , USB-C Power Draw [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2023-06-16 10:17:31 ,        1995.0   ,           1767.5   ,               63.4   ,        76.8   ,                53   ,                     0   ,                53   ,                     0   ,           7504   ,         99   ,                       39   ,                   0   ,                   24   ,              222.3   ,                 176.9   ,               14.1   ,               24.2   ,              40.1   ,                11.7   ,             91.0   ,               11.8   ,             91.0   ,               11.8   ,                0.1   ,                        80.8   ,              16   ,        1.0430   ,               75.0   ,                 21301   ,
2023-06-16 10:17:32 ,        1995.0   ,           1767.5   ,               63.5   ,        76.9   ,                53   ,                     0   ,                53   ,                     0   ,           7506   ,         99   ,                       39   ,                   0   ,                   24   ,              223.9   ,                 177.9   ,               14.1   ,               24.3   ,              40.1   ,                11.7   ,             92.0   ,               11.8   ,             91.6   ,               11.8   ,                0.1   ,                        81.4   ,              16   ,        1.0430   ,               74.0   ,                 21299   ,
2023-06-16 10:17:33 ,        1995.0   ,           1767.5   ,               63.7   ,        77.1   ,                53   ,                     0   ,                53   ,                     0   ,           7507   ,         99   ,                       39   ,                   0   ,                   24   ,              226.7   ,                 180.6   ,               14.2   ,               24.5   ,              41.0   ,                11.7   ,             92.6   ,               11.8   ,             92.9   ,               11.8   ,                0.1   ,                        82.4   ,              16   ,        1.0430   ,               65.0   ,                 21296   ,
2023-06-16 10:17:34 ,        1995.0   ,           1767.5   ,               63.5   ,        76.9   ,                53   ,                     0   ,                53   ,                     0   ,           7509   ,         99   ,                       39   ,                   0   ,                   24   ,              225.7   ,                 179.4   ,               14.1   ,               24.3   ,              40.5   ,                11.7   ,             92.4   ,               11.8   ,             92.4   ,               11.8   ,                0.1   ,                        82.1   ,              16   ,        1.0430   ,               68.0   ,                 21296   ,
2023-06-16 10:17:35 ,        1995.0   ,           1767.5   ,               63.8   ,        77.4   ,                53   ,                     0   ,                53   ,                     0   ,           7510   ,         99   ,                       39   ,                   0   ,                   24   ,              225.4   ,                 179.5   ,               14.1   ,               24.4   ,              40.7   ,                11.7   ,             92.1   ,               11.8   ,             92.3   ,               11.8   ,                0.1   ,                        82.0   ,              16   ,        1.0430   ,               68.0   ,                 21302   ,
2023-06-16 10:17:36 ,        1995.0   ,           1767.5   ,               63.7   ,        77.1   ,                53   ,                     0   ,                53   ,                     0   ,           7505   ,         99   ,                       39   ,                   0   ,                   24   ,              223.6   ,                 177.8   ,               14.1   ,               24.3   ,              40.5   ,                11.7   ,             91.2   ,               11.8   ,             91.6   ,               11.8   ,                0.1   ,                        81.3   ,              16   ,        1.0430   ,               68.0   ,                 21292   ,
2023-06-16 10:17:37 ,        1995.0   ,           1767.5   ,               63.8   ,        77.3   ,                53   ,                     0   ,                53   ,                     0   ,           7514   ,         99   ,                       39   ,                   0   ,                   25   ,              225.0   ,                 178.9   ,               14.1   ,               24.3   ,              40.4   ,                11.7   ,             92.0   ,               11.8   ,             92.3   ,               11.8   ,                0.1   ,                        81.8   ,              16   ,        1.0430   ,               70.0   ,                 21289   ,
2023-06-16 10:17:38 ,        1995.0   ,           1767.5   ,               63.8   ,        77.3   ,                53   ,                     0   ,                53   ,                     0   ,           7515   ,         99   ,                       39   ,                   0   ,                   24   ,              226.3   ,                 179.8   ,               14.1   ,               24.3   ,              40.8   ,                11.7   ,             92.6   ,               11.8   ,             92.7   ,               11.8   ,                0.1   ,                        82.3   ,              16   ,        1.0430   ,               67.0   ,                 21289   ,
2023-06-16 10:17:39 ,        1995.0   ,           1767.5   ,               63.8   ,        77.4   ,                53   ,                     0   ,                53   ,                     0   ,           7516   ,         99   ,                       39   ,                   0   ,                   24   ,              227.1   ,                 181.0   ,               14.2   ,               24.5   ,              41.1   ,                11.7   ,             92.4   ,               11.8   ,             92.7   ,               11.8   ,                0.1   ,                        82.3   ,              16   ,        1.0430   ,               67.0   ,                 21290   ,
2023-06-16 10:17:40 ,        1995.0   ,           1767.5   ,               63.9   ,        77.5   ,                53   ,                     0   ,                53   ,                     0   ,           7518   ,         99   ,                       40   ,                   0   ,                   24   ,              227.0   ,                 181.3   ,               14.2   ,               24.5   ,              40.6   ,                11.7   ,             93.1   ,               11.8   ,             93.1   ,               11.8   ,                0.1   ,                        82.2   ,              16   ,        1.0430   ,               65.0   ,                 21290   ,
